JobNumber,Period,Period1,Period2,Period3,Period4,Period5,Period6,Period7,Period8,Period9,Period10,Period11,Period12
1065,0,-1265.0000,-1265.0000,-1265.0000,-1265.0000,-1265.0000,-1265.0000,-1265.0000,-1265.0000,-1265.0000,-1265.0000,-1265.0000,-1265.0000
1065,12,70.0000,70.0000,70.0000,70.0000,70.0000,70.0000,70.0000,70.0000,70.0000,70.0000,70.0000,70.0000
1066,0,-10345.0000,-10345.0000,-10345.0000,-10345.0000,-10345.0000,-10345.0000,-10345.0000,-10345.0000,-10345.0000,-10345.0000,-10345.0000,-10345.0000
1066,12,1222.0000,1222.0000,1222.0000,1222.0000,1222.0000,1222.0000,1222.0000,1222.0000,1222.0000,1222.0000,1222.0000,1222.0000
1067,0,6.0000,6.0000,6.0000,6.0000,6.0000,6.0000,6.0000,6.0000,6.0000,6.0000,6.0000,6.0000
1068,0,-1120.0000,-1120.0000,-1120.0000,-1120.0000,-1120.0000,-1120.0000,-1120.0000,-1120.0000,-1120.0000,-1120.0000,-1120.0000,-1120.0000
1068,12,50.0000,50.0000,50.0000,50.0000,50.0000,50.0000,50.0000,50.0000,50.0000,50.0000,50.0000,50.0000
1069,0,-1656.0000,-1656.0000,-1656.0000,-1656.0000,-1656.0000,-1656.0000,-1656.0000,-1656.0000,-1656.0000,-1656.0000,-1656.0000,-1656.0000
1069,12,50.0000,50.0000,50.0000,50.0000,50.0000,50.0000,50.0000,50.0000,50.0000,50.0000,50.0000,50.0000
1070,0,-620.0000,-620.0000,-620.0000,-620.0000,-620.0000,-620.0000,-620.0000,-620.0000,-620.0000,-620.0000,-620.0000,-620.0000
1070,12,40.0000,40.0000,40.0000,40.0000,40.0000,40.0000,40.0000,40.0000,40.0000,40.0000,40.0000,40.0000
1071,0,-1799.0000,-1799.0000,-1799.0000,-1799.0000,-1799.0000,-1799.0000,-1799.0000,-1799.0000,-1799.0000,-1799.0000,-1799.0000,-1799.0000
1071,12,138.0000,138.0000,138.0000,138.0000,138.0000,138.0000,138.0000,138.0000,138.0000,138.0000,138.0000,138.0000
1072,0,-308.0000,-308.0000,-308.0000,-308.0000,-308.0000,-308.0000,-308.0000,-308.0000,-308.0000,-308.0000,-308.0000,-308.0000
1072,12,97.0000,97.0000,97.0000,97.0000,97.0000,97.0000,97.0000,97.0000,97.0000,97.0000,97.0000,97.0000
1073,0,-290.0000,-290.0000,-290.0000,-290.0000,-290.0000,-290.0000,-290.0000,-290.0000,-290.0000,-290.0000,-290.0000,-290.0000
1073,12,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000
1074,0,-745.0000,-745.0000,-745.0000,-745.0000,-745.0000,-745.0000,-745.0000,-745.0000,-745.0000,-745.0000,-745.0000,-745.0000
1074,12,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000
1075,0,-387.0000,-387.0000,-387.0000,-387.0000,-387.0000,-387.0000,-387.0000,-387.0000,-387.0000,-387.0000,-387.0000,-387.0000
1075,12,25.0000,25.0000,25.0000,25.0000,25.0000,25.0000,25.0000,25.0000,25.0000,25.0000,25.0000,25.0000
1076,0,-976.0000,-976.0000,-976.0000,-976.0000,-976.0000,-976.0000,-976.0000,-976.0000,-976.0000,-976.0000,-976.0000,-976.0000
1077,0,-732.0000,-732.0000,-732.0000,-732.0000,-732.0000,-732.0000,-732.0000,-732.0000,-732.0000,-732.0000,-732.0000,-732.0000
1077,12,75.0000,75.0000,75.0000,75.0000,75.0000,75.0000,75.0000,75.0000,75.0000,75.0000,75.0000,75.0000
1078,0,-2227.0000,-2227.0000,-2227.0000,-2227.0000,-2227.0000,-2227.0000,-2227.0000,-2227.0000,-2227.0000,-2227.0000,-2227.0000,-2227.0000
2001,0,163.0000,163.0000,163.0000,163.0000,163.0000,163.0000,163.0000,163.0000,163.0000,163.0000,163.0000,163.0000
2003,0,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000
2013,0,-5015.0000,-5015.0000,-5015.0000,-5015.0000,-5015.0000,-5015.0000,-5015.0000,-5015.0000,-5015.0000,-5015.0000,-5015.0000,-5015.0000
2013,12,,,,,,,,,,,,
2016,0,-1009.0000,-1009.0000,-1009.0000,-1009.0000,-1009.0000,-1009.0000,-1009.0000,-1009.0000,-1009.0000,-1009.0000,-1009.0000,-1009.0000
3000,0,874.0000,874.0000,874.0000,874.0000,874.0000,874.0000,874.0000,874.0000,874.0000,874.0000,874.0000,874.0000
3001,0,-128757.0000,-128757.0000,-128757.0000,-128757.0000,-128757.0000,-128757.0000,-128757.0000,-128757.0000,-128757.0000,-128757.0000,-128757.0000,-128757.0000
3002,0,4302.0000,4302.0000,4302.0000,4302.0000,4302.0000,4302.0000,4302.0000,4302.0000,4302.0000,4302.0000,4302.0000,4302.0000
3003,0,-5804.0000,-5804.0000,-5804.0000,-5804.0000,-5804.0000,-5804.0000,-5804.0000,-5804.0000,-5804.0000,-5804.0000,-5804.0000,-5804.0000
3004,0,,,,,,,,,,,,
3005,0,-317.0000,-317.0000,-317.0000,-317.0000,-317.0000,-317.0000,-317.0000,-317.0000,-317.0000,-317.0000,-317.0000,-317.0000
