JobNumber,Period1,Period2,Period3,Period4,Period5,Period6,Period7,Period8,Period9,Period10,Period11,Period12
2003,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000
2013,2918.0000,2918.0000,2918.0000,2918.0000,2918.0000,2918.0000,2918.0000,2918.0000,2918.0000,2918.0000,2918.0000,2918.0000
3000,874.0000,874.0000,874.0000,874.0000,874.0000,874.0000,874.0000,874.0000,874.0000,874.0000,874.0000,874.0000
3001,-128757.0000,-128757.0000,-128757.0000,-128757.0000,-128757.0000,-128757.0000,-128757.0000,-128757.0000,-128757.0000,-128757.0000,-128757.0000,-128757.0000
3002,4302.0000,4302.0000,4302.0000,4302.0000,4302.0000,4302.0000,4302.0000,4302.0000,4302.0000,4302.0000,4302.0000,4302.0000
3003,-5804.0000,-5804.0000,-5804.0000,-5804.0000,-5804.0000,-5804.0000,-5804.0000,-5804.0000,-5804.0000,-5804.0000,-5804.0000,-5804.0000
3004,,,,,,,,,,,,
3005,-317.0000,-317.0000,-317.0000,-317.0000,-317.0000,-317.0000,-317.0000,-317.0000,-317.0000,-317.0000,-317.0000,-317.0000
3006,-1161.0000,-1161.0000,-1161.0000,-1161.0000,-1161.0000,-1161.0000,-1161.0000,-1161.0000,-1161.0000,-1161.0000,-1161.0000,-1161.0000
3007,,,,,,,,,,,,
3008,-38193.0000,-38193.0000,-38193.0000,-38193.0000,-38193.0000,-38193.0000,-38193.0000,-38193.0000,-38193.0000,-38193.0000,-38193.0000,-38193.0000
3010,,,,,,,,,,,,
3012,-29106.0000,-29106.0000,-29106.0000,-29106.0000,-29106.0000,-29106.0000,-29106.0000,-29106.0000,-29106.0000,-29106.0000,-29106.0000,-29106.0000
3013,,,,,,,,,,,,
3015,-2422.0000,-2422.0000,-2422.0000,-2422.0000,-2422.0000,-2422.0000,-2422.0000,-2422.0000,-2422.0000,-2422.0000,-2422.0000,-2422.0000
3016,-15357.0000,-15357.0000,-15357.0000,-15357.0000,-15357.0000,-15357.0000,-15357.0000,-15357.0000,-15357.0000,-15357.0000,-15357.0000,-15357.0000
3017,-1770.0000,-1770.0000,-1770.0000,-1770.0000,-1770.0000,-1770.0000,-1770.0000,-1770.0000,-1770.0000,-1770.0000,-1770.0000,-1770.0000
3018,,,,,,,,,,,,
3020,32.0000,32.0000,32.0000,32.0000,32.0000,32.0000,32.0000,32.0000,32.0000,32.0000,32.0000,32.0000
3022,-1008.0000,-1008.0000,-1008.0000,-1008.0000,-1008.0000,-1008.0000,-1008.0000,-1008.0000,-1008.0000,-1008.0000,-1008.0000,-1008.0000
3024,4964.0000,4964.0000,4964.0000,4964.0000,4964.0000,4964.0000,4964.0000,4964.0000,4964.0000,4964.0000,4964.0000,4964.0000
3025,-63511.0000,-63511.0000,-63511.0000,-63511.0000,-63511.0000,-63511.0000,-63511.0000,-63511.0000,-63511.0000,-63511.0000,-63511.0000,-63511.0000
3027,-30061.0000,-30061.0000,-30061.0000,-30061.0000,-30061.0000,-30061.0000,-30061.0000,-30061.0000,-30061.0000,-30061.0000,-30061.0000,-30061.0000
3028,7319.0000,7319.0000,7319.0000,7319.0000,7319.0000,7319.0000,7319.0000,7319.0000,7319.0000,7319.0000,7319.0000,7319.0000
3029,-1637.0000,-1637.0000,-1637.0000,-1637.0000,-1637.0000,-1637.0000,-1637.0000,-1637.0000,-1637.0000,-1637.0000,-1637.0000,-1637.0000
3030,700.0000,700.0000,700.0000,700.0000,700.0000,700.0000,700.0000,700.0000,700.0000,700.0000,700.0000,700.0000
3031,-5076.0000,-5076.0000,-5076.0000,-5076.0000,-5076.0000,-5076.0000,-5076.0000,-5076.0000,-5076.0000,-5076.0000,-5076.0000,-5076.0000
3033,-18314.0000,-18314.0000,-18314.0000,-18314.0000,-18314.0000,-18314.0000,-18314.0000,-18314.0000,-18314.0000,-18314.0000,-18314.0000,-18314.0000
3034,-1906.0000,-1906.0000,-1906.0000,-1906.0000,-1906.0000,-1906.0000,-1906.0000,-1906.0000,-1906.0000,-1906.0000,-1906.0000,-1906.0000
3036,-1138.0000,-1138.0000,-1138.0000,-1138.0000,-1138.0000,-1138.0000,-1138.0000,-1138.0000,-1138.0000,-1138.0000,-1138.0000,-1138.0000
3037,-21264.0000,-21264.0000,-21264.0000,-21264.0000,-21264.0000,-21264.0000,-21264.0000,-21264.0000,-21264.0000,-21264.0000,-21264.0000,-21264.0000
3038,-15156.0000,-15156.0000,-15156.0000,-15156.0000,-15156.0000,-15156.0000,-15156.0000,-15156.0000,-15156.0000,-15156.0000,-15156.0000,-15156.0000
3039,-1453.0000,-1453.0000,-1453.0000,-1453.0000,-1453.0000,-1453.0000,-1453.0000,-1453.0000,-1453.0000,-1453.0000,-1453.0000,-1453.0000
3040,-14993.0000,-14993.0000,-14993.0000,-14993.0000,-14993.0000,-14993.0000,-14993.0000,-14993.0000,-14993.0000,-14993.0000,-14993.0000,-14993.0000
3042,-5207.0000,-5207.0000,-5207.0000,-5207.0000,-5207.0000,-5207.0000,-5207.0000,-5207.0000,-5207.0000,-5207.0000,-5207.0000,-5207.0000
3043,43.0000,43.0000,43.0000,43.0000,43.0000,43.0000,43.0000,43.0000,43.0000,43.0000,43.0000,43.0000
3045,-62659.0000,-62659.0000,-62659.0000,-62659.0000,-62659.0000,-62659.0000,-62659.0000,-62659.0000,-62659.0000,-62659.0000,-62659.0000,-62659.0000
3046,-3982.0000,-3982.0000,-3982.0000,-3982.0000,-3982.0000,-3982.0000,-3982.0000,-3982.0000,-3982.0000,-3982.0000,-3982.0000,-3982.0000
4013,45.0000,45.0000,45.0000,45.0000,45.0000,45.0000,45.0000,45.0000,45.0000,45.0000,45.0000,45.0000
4035,-1569.0000,-1569.0000,-1569.0000,-1569.0000,-1569.0000,-1569.0000,-1569.0000,-1569.0000,-1569.0000,-1569.0000,-1569.0000,-1569.0000
4037,-3076.0000,-3076.0000,-3076.0000,-3076.0000,-3076.0000,-3076.0000,-3076.0000,-3076.0000,-3076.0000,-3076.0000,-3076.0000,-3076.0000
4040,-6348.0000,-5452.0000,-6348.0000,-6348.0000,-5452.0000,-6348.0000,-6348.0000,-6348.0000,-6348.0000,-6348.0000,-6348.0000,-6348.0000
4044,-459.0000,-459.0000,-459.0000,-459.0000,-459.0000,-459.0000,-459.0000,-459.0000,-459.0000,-459.0000,-459.0000,-459.0000
4500,5000.0000,5000.0000,5000.0000,5000.0000,5000.0000,5000.0000,5000.0000,5000.0000,5000.0000,5000.0000,5000.0000,5000.0000
4501,5000.0000,5000.0000,5000.0000,5000.0000,5000.0000,5000.0000,5000.0000,5000.0000,5000.0000,5000.0000,5000.0000,5000.0000
5000,-4797.0000,-4797.0000,-4797.0000,-4797.0000,-4797.0000,-4797.0000,-4797.0000,-4797.0000,-4797.0000,-4797.0000,-4797.0000,-4797.0000
5011,-25449.0000,-25449.0000,-25449.0000,-25449.0000,-25449.0000,-25449.0000,-25449.0000,-25449.0000,-25449.0000,-25449.0000,-25449.0000,-25449.0000
6008,-4066.0000,-4066.0000,-4066.0000,-4066.0000,-4066.0000,-4066.0000,-4066.0000,-4066.0000,-4066.0000,-4066.0000,-4066.0000,-4066.0000
6009,151.0000,151.0000,151.0000,151.0000,151.0000,151.0000,151.0000,151.0000,151.0000,151.0000,151.0000,151.0000
6025,,,,,,,,,,,,
7001,50.0000,50.0000,50.0000,50.0000,50.0000,50.0000,50.0000,50.0000,50.0000,50.0000,50.0000,50.0000
7006,41.0000,41.0000,41.0000,41.0000,41.0000,41.0000,41.0000,41.0000,41.0000,41.0000,41.0000,41.0000
8005,1682.0000,1682.0000,1682.0000,1682.0000,1682.0000,1682.0000,1682.0000,1682.0000,1682.0000,1682.0000,1682.0000,1682.0000
8006,12185.0000,12185.0000,12185.0000,12185.0000,12185.0000,12185.0000,12185.0000,12185.0000,12185.0000,12185.0000,12185.0000,12185.0000
8013,,,,,,,,,,,,
8050,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000
8051,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000
8052,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000
8053,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000
8054,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000
8055,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000
8056,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000
8057,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000
8058,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000
8059,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000
8060,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000
8061,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000
8062,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000
8063,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000
8064,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000
8065,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000
8066,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000
8067,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000
8068,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000
8069,-100.0000,-100.0000,-100.0000,550.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000
8070,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000
8071,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000
8072,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000
8073,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000
8074,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000
8075,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000
8076,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000
8077,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000
8079,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000
8082,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000
8083,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000
8084,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000
8085,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000
8086,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000
8087,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000
8088,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000
8089,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000
8090,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000
8091,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000
8092,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000
8093,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000
8094,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000
8095,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000
8096,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000
8097,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000
8098,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000
8099,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000
8100,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000
8101,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000
8102,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000
8103,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000
8104,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000
8105,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000
8106,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000
8107,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000
8108,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000
8109,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000
8110,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000
8111,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000
8112,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000
8113,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000
8114,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000
8115,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000
8116,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000
8117,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000
8118,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,550.0000
8119,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000
8120,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000
8121,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000
8122,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000
8123,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000
8124,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000
8126,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000
8127,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000
8128,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000
8130,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000
8131,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000
8132,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000
8133,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000
8134,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000
8135,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000
8136,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000
8137,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000
8138,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000
8139,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000
8140,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000
8142,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000
8143,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000
8144,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000
8145,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000
8146,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000,-100.0000
