JobNumber,Period,actual_total
3036,3,-866.4000
3036,4,-729.6600
3036,5,-787.4000
3036,6,-727.8400
3036,7,-883.4400
3036,8,-874.5600
3036,9,-775.2700
3036,10,-878.2300
3036,11,-1118.6400
3037,1,-6967.8600
3037,2,-5290.6300
3037,3,-3360.1400
3037,4,-5072.7000
3037,5,-4826.5500
3037,6,-3456.2500
3037,7,-2762.9000
3037,8,-6795.4700
3037,9,-3954.5700
3037,10,-5576.9900
3037,11,-16440.3800
3038,1,-5594.9300
3038,2,-4368.6100
3038,3,-2652.1400
3038,4,-3562.3100
3038,5,-1708.3800
3038,6,-5873.6800
3038,7,-9349.1400
3038,8,-5139.6700
3038,9,-2802.0000
3038,10,-5869.6900
3038,11,-10856.8300
3039,1,-669.5900
3039,2,-746.5600
3039,3,-657.4700
3039,4,-731.7700
3039,5,-644.8400
3039,6,-754.4500
3039,7,-610.5200
3039,8,-860.6900
3039,9,-300.6300
3039,10,-578.2300
3039,11,-919.7700
3040,1,-4723.8700
3040,2,-4175.5100
3040,3,-2053.0900
3040,4,-3354.5000
3040,5,-5327.0100
3040,6,-5156.0200
3040,7,-4022.7400
3040,8,-5721.2200
3040,9,-4732.3400
3040,10,-4382.9700
3040,11,-10496.1000
3042,1,-2291.5300
3042,2,-1680.9900
3042,3,-756.1600
3042,4,-1888.2700
3042,5,465.6100
3042,6,-555.6000
3042,7,457.4600
3042,8,-1945.8300
3042,9,-1699.4300
3042,10,-1765.4500
3042,11,-2984.8900
3043,1,304.1700
3043,2,-202.2700
3043,3,88.9400
3043,4,-63.5300
3043,5,76.4800
3043,6,-53.6500
3043,7,662.0300
3043,8,152.4100
3043,9,141.4000
3043,10,-175.3900
3043,11,-954.7600
3044,4,-170.1200
3044,5,-58.5500
3044,10,-164.4300
3045,2,11178.5200
3045,3,-2362.6000
3045,4,-10120.8200
3045,5,-4718.7000
3045,6,-7712.0400
3045,7,-8884.1600
3045,8,-22388.7100
3045,9,-5802.5200
3045,10,-11635.2200
3045,11,-44745.3900
3046,2,2680.6800
3046,3,-822.7900
3046,4,-1043.0300
3046,5,-1190.1100
3046,6,-610.7400
3046,7,321.6300
3046,8,365.3700
3046,9,23.2800
3046,10,-1685.4600
3046,11,-2795.0800
3047,9,144.4200
3047,10,7.6000
33,1,31193.6000
33,3,86.1800
4006,10,600.0000
4018,4,-472.5400
4035,1,-498.0000
4035,2,-682.3900
4035,3,-408.9400
4035,4,-599.7900
4035,5,-274.6900
4035,6,-583.6800
4035,7,-472.9600
4035,8,-501.2700
4035,9,-505.2100
4035,10,-546.7400
4035,11,-667.5300
4037,1,-837.5900
4037,2,-1046.8500
4037,3,-981.4600
4037,4,-1188.7600
4037,5,-1245.0500
4037,6,-1173.9700
4037,7,-985.2300
4037,8,-1328.0500
4037,9,-1119.4900
4037,10,-1551.9500
4037,11,-2293.0300
4039,7,55.2900
4039,9,4.7600
4039,10,0.2400
4040,1,-4102.0600
4040,2,-1270.5000
4040,3,-2472.5100
4040,4,-2648.9000
4040,5,-1972.4700
4040,6,-2133.0400
4040,7,-2968.1600
4040,8,-3169.2700
4040,9,-2445.2200
4040,10,-3585.6500
4040,11,-5920.7000
4044,1,-339.7000
4044,2,-316.7600
4044,3,-291.3900
4044,4,-261.3900
4044,5,-333.5300
4044,6,-288.4000
4044,7,-208.0900
4044,8,-253.4100
4044,9,-270.0000
4044,10,-79.0000
4044,11,-10.0000
4500,1,5854.5400
4500,2,38284.9400
4500,3,49555.7200
4500,4,35134.4200
4500,5,36828.5100
4500,6,60777.0200
4500,7,19356.0900
4500,8,35479.3700
4500,9,43762.1300
4500,10,41081.9100
4500,11,22374.4900
4500,12,6884.3900
4501,3,13377.0400
4501,4,7801.8700
4501,5,8904.3200
4501,7,1923.4800
4501,9,10767.5400
4501,10,2592.0000
4502,3,5130.0000
5000,1,-3879.6300
5000,2,-1253.0500
5000,3,-3246.3400
5000,4,-1309.5800
5000,5,-715.3100
5000,6,-3407.3800
5000,7,-1024.7100
5000,8,-1679.3800
5000,9,-941.0700
5000,10,-978.5100
5000,11,-3389.3700
5001,2,12.0000
5001,3,19.0000
5001,4,19.0000
5010,11,-788.8000
5011,1,-4863.8400
5011,2,-5566.2200
5011,3,-983.2100
5011,4,-3140.7700
5011,5,-403.4100
5011,6,-3826.9700
5011,7,2241.5900
5011,8,-6879.2100
5011,9,-4111.7400
5011,10,-2574.7600
5011,11,-24855.5700
5012,1,-1350.0900
5012,2,407.1300
5012,3,-22.2500
5013,1,1678.4800
5013,2,1758.7100
5013,3,1407.1700
5013,4,2603.8800
5013,5,1661.1600
5013,6,1209.5700
5013,7,1213.8800
5013,8,1112.7000
5013,9,1150.4300
5013,10,1330.6400
5013,11,443.9400
5014,1,6581.2900
5014,2,3451.9900
5014,3,7247.9500
5014,4,4209.9700
5014,5,5071.8700
5014,6,3538.3500
5014,7,4193.1800
5014,8,5161.5000
5014,9,5792.0800
5014,10,6153.7900
5014,11,2181.5800
5017,1,-1710.9100
5017,2,-3260.5500
5017,3,3512.4400
5017,4,439.0400
5017,5,481.3100
5017,6,282.6600
6008,1,-1357.5400
6008,2,-670.5800
6008,3,-155.1800
6008,4,-985.1000
6008,5,-1162.2900
6008,6,454.1200
6008,7,-1107.0500
6008,8,-1041.8300
6008,9,-233.2700
6008,10,-1709.8800
6008,11,-2996.2600
6025,7,-907.5900
6025,9,-992.1200
6025,11,67.0100
6026,8,-702.0300
6026,9,163.6500
7001,1,-4184.9600
7001,2,-1167.2600
7001,3,-10109.2900
7001,4,-6687.2800
7001,5,-964.9700
7001,6,342.3300
7001,7,-9128.4800
7001,8,-1087.8800
7001,9,-6939.5500
7001,10,-2759.5300
7001,11,-10770.7900
7002,3,1627.5800
7002,4,809.4300
7002,6,96.0400
7002,7,1725.7400
7002,8,151.5400
7002,9,1247.8400
7002,10,1284.2500
7002,11,983.3100
7003,1,1900.5800
7003,2,452.0700
7003,3,2911.4100
7003,4,2832.9800
7003,5,1255.0600
7003,6,-19.6300
7003,7,4816.3300
7003,8,427.3400
7003,9,-3871.5200
7003,10,5071.4300
7003,11,1778.2700
7004,3,87.7000
7004,4,20.5600
7005,1,3085.5900
7005,2,3323.4200
7005,3,2969.3300
7005,4,20.5600
7005,5,120.4200
7005,11,-32054.5700
7006,1,-143.1200
7006,2,-76.0100
7006,3,1.1000
7006,4,-90.6900
7006,5,-52.1100
7006,6,-299.8300
7006,7,-201.0500
7006,8,-68.2800
7006,9,-127.7100
7006,10,-172.9700
7006,11,-393.2800
7007,2,-9970.2100
7007,3,297.3300
7007,4,20.5600
7008,1,137.1900
7009,1,1915.8800
7009,2,-9408.8500
7009,3,-1611.2000
7009,4,-11105.0100
7009,5,-6974.7400
7009,6,-4399.8200
7009,7,-2482.3700
7009,8,1059.0000
7009,9,-5730.9100
7009,10,-2913.6200
7009,11,1096.6100
8005,2,6728.1000
8005,4,20.5600
8005,5,96.0000
8005,6,54.0000
8005,7,77.2800
8005,8,30.7200
8005,9,364.8000
8005,10,6984.3100
8006,1,10274.2400
8006,2,2738.1800
8006,3,9435.7800
8006,4,11777.4700
8006,5,9811.8100
8006,6,9578.6100
8006,7,9448.8500
8006,8,9870.0700
8006,9,9894.8200
8006,10,2767.5400
8006,11,2431.9600
8007,1,-7692.9500
8007,2,-7124.6400
8007,3,-7238.3000
8007,4,-6926.1800
8007,5,-6952.2800
8007,6,-7178.3000
8007,7,-7230.7400
8007,8,-7110.3000
8007,9,-7215.5400
8007,10,-7110.3000
8007,11,-6933.9000
8008,1,-368.0500
8008,2,-368.0500
8008,3,-368.0500
8008,4,-272.0500
8008,5,-305.0500
8008,6,-368.0500
8008,7,-313.7700
8008,8,-101.9800
8008,9,-189.0500
8008,10,-70.3500
8008,11,-368.0500
8009,1,-151.5500
8009,2,-151.5500
8009,3,-151.5500
8009,4,-151.5500
8009,5,-22.7800
8009,6,-151.5500
8009,7,-151.5500
8009,8,-23.5500
8009,9,200.9500
8009,10,2.0300
8009,11,-151.5500
8010,1,-173.2000
8010,2,-173.2000
8010,3,-173.2000
8010,4,-173.2000
8010,5,-173.2000
8010,6,-173.2000
8010,7,-118.9200
8010,8,-76.7200
8010,9,5.8000
8010,10,-19.6200
8010,11,-258.2000
8011,1,-4178.4500
8011,2,-4178.4500
8011,3,-4239.2000
8011,4,-3901.6300
8011,5,-4020.0500
8011,6,-4178.4500
8011,7,-4150.2600
8011,8,-4021.6500
8011,9,-4105.2300
8011,10,-4334.4100
8011,11,-4330.0000
8012,1,-1537.1500
8012,2,-1537.1500
8012,3,-1537.1500
8012,4,-1537.1500
8012,5,-1537.1500
8012,6,-1537.1500
8012,7,-1537.1500
8012,8,-1537.1500
8012,9,-1537.1500
8012,10,-1248.8900
8012,11,-1662.1500
8013,1,-692.8400
8013,2,-692.8000
8013,3,-692.8000
8013,4,-500.8000
8013,5,-692.8000
8013,6,-428.8000
8013,7,-646.7200
8013,8,-466.8800
8013,9,-639.8000
8013,10,-692.8000
8013,11,-692.8000
8025,1,538.7900
8025,6,-1122.4700
8030,7,-20.8200
8030,8,-436.0000
8030,9,-1738.6200
8030,10,-500.0000
8030,11,-500.0000
8031,7,-20.8200
8031,8,-436.0000
8031,9,761.3400
8031,10,-1600.8700
8031,11,-427.9300
9001,1,-2543.3100
9001,2,-2009.9600
9001,3,-1467.7700
9001,4,-1049.1400
9001,5,-1893.5200
9001,6,-2004.4200
9002,1,-893.4100
9002,2,35.5500
9002,3,0.0000
9002,11,310.6300
9003,1,-871.3200
9003,2,-52.2400
9003,3,-1357.0400
9003,4,-365.4400
9003,5,-1042.3900
9003,6,-275.7500
9003,7,-428.0300
9003,8,-332.2100
9003,9,-441.6200
9003,10,-353.3100
9003,11,-1109.7200
9004,1,3120.0000
9004,2,1476.4100
9004,3,-1325.6300
9004,4,-2470.0000
901057,5,53.9300
901057,7,50.7600
901057,8,174.2900
901057,9,23.2200
901058,5,359.9300
901058,6,55.2000
901058,7,283.2100
901058,8,36.0000
901058,9,6.4000
901058,10,108.1000
903000,6,1323.6100
903000,7,4562.2000
903000,8,3577.0200
903000,9,3590.6300
903000,10,3839.3700
903000,11,1524.6200
903001,4,117.2800
903001,5,390.0700
903001,7,1198.0000
903001,8,3210.0700
903001,9,3788.1800
903001,10,1288.0100
903001,11,879.4900
903008,5,-123.4600
903012,4,158.0000
903012,8,1109.7900
903012,9,413.8400
903012,10,365.6400
903012,11,365.6400
903033,4,728.2800
903033,7,217.5000
903033,8,4204.0300
903033,9,4246.8600
903033,10,443.4700
903038,4,317.0000
903038,9,603.8500
903038,10,1466.3600
903042,4,347.8100
903042,8,607.7600
903042,10,790.4400
903045,4,136.0000
903045,5,1747.9400
903045,6,362.0400
903045,7,190.7800
903045,8,37.8300
903045,9,718.8700
903045,10,166.7800
903045,11,-679.3400
904040,6,128.9700
904040,8,305.4800
904040,9,995.9600
904040,10,28.2900
904040,11,245.9300
905011,4,1330.0200
905011,5,54.3800
905011,6,418.0300
905011,7,306.7500
905011,8,1277.3400
905011,9,1057.2200
905011,10,366.0600
905011,11,1096.2200
906008,5,210.8400
906008,6,115.6200
906008,7,75.8500
906008,8,114.7800
906008,9,270.1100
906008,10,68.7200
906008,11,66.5700
909001,4,237.8400
909001,10,33.6000
9200,2,200.0000
9303,1,-53.5000
9303,3,879.0200
