JobNumber,UserCodeT_1
1003,25504
1007,4560
1008,3165
1009,132500
1010,6350
1011,6350
1012,3560
1032,44832
1033,73567
1034,19390
1037,28154
1038,84830
1045,3913
1051,26313
1053,36612
1058,18000
1061,15800
1065,3950
1066,97024
1067,2345
1069,8500
1071,11941
1072,2500
3007,166799
3012,200946
3015,4467
3018,166799
3027,101318
3037,77920
3038,18393
3039,9226
4040,28854
6008,19807
9001,37850
