"ID",TaskCode,TaskName,MeasureTypeID,Minutes,TypeID,price
7550,9000,General cleaning time - Basic,1,22.000000,2902,20.000000
7551,9001,General Cleaning Office,1,20.000000,2902,20.000000
7552,9002,General Cleaning  Hospitality,1,30.000000,2902,20.000000
7553,9003,General Cleaning Medical,1,32.000000,2902,40.000000
7554,9004,General Cleaning Medical operating room,1,64.000000,2902,40.000000
7555,9005,General Cleaning Education Daycare,1,32.000000,2902,30.000000
7556,9006,General Cleaning Municipal,1,23.000000,2902,20.000000
7557,9007,Icap / Encapsulation 500 SF,1,23.000000,103,180.000000
7558,9008,Icap / Encapsulation 501-1000 SF,1,23.000000,103,168.000000
7559,9009,Icap / Encapsulation 1001-2500 SF,1,23.000000,103,156.000000
7560,9010,Icap / Encapsulation 2501-5000 SF,1,23.000000,103,156.000000
7561,9011,Icap / Encapsulation 5000 + SF,1,23.000000,103,120.000000
7562,9012,Carpet Bonnet 500 SF,1,69.000000,103,150.000000
7563,9013,Carpet Bonnet 501-1000 SF,1,69.000000,103,130.000000
7564,9014,Carpet Bonnet 1001-2500 SF,1,69.000000,103,120.000000
7565,9015,Carpet Bonnet 2501-5000 SF,1,69.000000,103,110.000000
7566,9016,Carpet Bonnet 5000 + SF,1,69.000000,103,100.000000
7567,9017,Carpet Extraction 500 SF,1,46.000000,103,239.260000
7568,9018,Carpet Extraction 501-1000 SF,1,46.000000,103,236.160000
7569,9019,Carpet Extraction 1001-2500 SF,1,46.000000,103,216.000000
7570,9020,Carpet Extraction 2501-5000 SF,1,46.000000,103,204.000000
7571,9021,Carpet Extraction 5000 + SF,1,46.000000,103,192.000000
7572,9022,Terrazzo Polish,1,25.000000,105,200.000000
7573,9023,Terrazzo Diamond,2,3.000000,105,6.000000
7574,9024,Terrazzo Steel Wool/ crystallization,2,1.000000,105,2.000000
7575,9025,VCT Burnish,1,9.000000,105,250.000000
7576,9026,VCT Buff,1,15.000000,105,200.000000
7577,9027,Restroom floor scrubbing,1,92.000000,105,180.000000
7578,9028,Pressure Wash  Price per sqft,1,86.000000,2902,144.000000
7579,9029,VCT Strip and wax 500 SF,1,275.000000,105,360.000000
7580,9030,VCT Strip and wax 501-1000 SF,1,275.000000,105,348.000000
7581,9031,VCT Strip and wax 1001-2500 SF,1,275.000000,105,336.000000
7582,9032,VCT Strip and wax 2501-5000 SF,1,275.000000,105,324.000000
7583,9033,VCT Strip and wax 5000 + SF,1,275.000000,105,300.000000
7584,9034,Scrub Recoat 500 SF,1,138.000000,105,216.000000
7585,9035,Scrub Recoat 501-1000 SF,1,138.000000,105,192.000000
7586,9036,Scrub Recoat 1001-2500 SF,1,138.000000,105,180.000000
7587,9037,Scrub Recoat 2501-5000 SF,1,138.000000,105,168.000000
7588,9038,Scrub Recoat 5000 + SF,1,138.000000,105,168.000000
7589,9039,Window washing,1,48.000000,109,15.000000
7590,9040,Restroom cleaning,1,33.000000,106,30.000000
7591,9041,Fixtures cleaning,2,4.000000,2902,1.500000
7592,9042,General Cleaning Classrooms,1,32.000000,2902,20.000000
7593,9043,General Cleaning Offices,1,32.000000,2902,20.000000
7594,9044,Ride on Floor Scrubber,1,2.000000,105,30.000000
7595,9045,General Cleaning Stairs and Landings,2,3.000000,107,10.030000
7596,9046,20' auto scrubber 5.500,1,14.000000,105,40.000000
7597,9047,Light Fixtures replace and clean per hr.,2,9.000000,2902,5.000000
7598,9048,"Upholstery Cleaning ,chairs per hour",2,14.000000,103,20.000000
7599,9049,Grout cleaning 35 cents Per square,1,99.000000,105,350.000000
7600,9050,Event Services (Hourly),2,62.000000,111,22.000000
7601,9051,Handyman Services (Hourly),2,64.000000,111,36.000000
7602,9052,Supervisory Staff (Hourly),2,64.000000,111,36.000000
7603,9053,Emergency Services (Hourly),2,64.000000,111,75.000000
