JobNumber,Period,Hours,Lunch,Total
3046,9,395.6000,11.5000,3667.4100000
3046,10,309.0900,17.0000,1219.2275000
3046,11,7.0300,0.5000,
3047,9,9.0000,0.5000,135.0000000
4018,4,7.5000,,105.0000000
4035,1,96.0000,,772.8000000
4035,2,100.2500,0.0000,807.0125000
4035,3,108.0000,,869.4000000
4035,4,108.0000,,869.4000000
4035,5,114.0000,0.0000,921.5000000
4035,6,104.0000,0.0000,837.2000000
4035,7,108.5000,0.5000,924.0000000
4035,8,108.0000,0.0000,869.4000000
4035,9,90.3000,0.0000,798.5000000
4035,10,95.7200,0.0000,377.5000000
4037,1,205.1400,13.5000,1832.2600000
4037,2,171.0400,10.0000,1539.3600000
4037,3,179.2100,11.0000,1612.8900000
4037,4,171.3100,10.5000,1541.7900000
4037,5,171.4900,10.5000,1543.4100000
4037,6,179.7800,11.0000,1618.0200000
4037,7,163.2700,10.0000,1469.4300000
4037,8,187.8300,11.5000,1690.4700000
4037,9,172.2200,10.5000,1549.9800000
4037,10,151.3000,9.0000,590.3100000
4037,11,8.1300,1.0000,
4039,7,23.3400,2.0000,198.3900000
4040,1,309.3100,10.5000,2981.7400000
4040,2,359.9100,10.0000,3595.3800000
4040,3,352.5900,11.5000,3588.1000000
4040,4,318.2300,10.0000,3194.7700000
4040,5,330.2700,10.0000,3288.9100000
4040,6,350.3200,11.0000,3459.6700000
4040,7,318.5800,10.0000,3139.7600000
4040,8,376.4600,11.5000,3938.9500000
4040,9,336.6700,10.5000,3527.0300000
4040,10,296.3000,9.5000,1259.1500000
4040,11,3.1000,0.0000,
4044,1,14.0000,,118.3000000
4044,2,16.0000,,135.2000000
4044,3,18.0000,,159.8000000
4044,4,19.0000,0.0000,189.0000000
4044,5,14.0000,0.0000,126.0000000
4044,6,16.0000,,144.0000000
4044,7,16.0000,0.0000,148.0000000
4044,8,10.0000,0.0000,73.8000000
4500,1,436.3700,14.5000,4366.5050000
4500,2,355.0300,12.0000,4730.0200000
4500,3,395.2200,16.0000,5326.5250000
4500,4,324.0800,14.0000,4142.1150000
4500,5,384.4200,16.0000,4685.5850000
4500,6,570.8100,19.5000,5729.0350000
4500,7,732.9800,7.5000,6100.0950000
4500,8,556.1400,28.5000,6971.9600000
4500,9,747.5200,39.0000,9966.8280000
4500,10,468.1800,20.5000,3240.9150000
4500,11,21.1000,1.5000,
4502,6,51.0000,,492.0000000
4502,7,25.0000,,300.0000000
5000,1,57.3900,6.5000,958.4130000
5000,2,183.6900,21.5000,3067.6230000
5000,3,196.6800,23.0000,3284.5560000
5000,4,185.5000,20.5000,3097.8500000
5000,5,204.1700,21.5000,3409.6390000
5000,6,175.8000,19.5000,2935.8600000
5000,7,175.1200,19.5000,2924.5040000
5000,8,196.1000,22.5000,3274.8700000
5000,9,198.2500,21.5000,3310.7750000
5000,10,186.1700,16.5000,1418.1640000
5011,1,2730.9000,172.0000,24330.8525000
5011,2,2579.3400,160.0000,23766.0975000
5011,3,2848.9900,181.0000,26353.9000000
5011,4,2228.7600,140.0000,20901.1450000
5011,5,2302.2600,146.5000,21138.5050000
5011,6,2118.5300,136.5000,19637.0075000
5011,7,2236.9800,143.0000,20580.0850000
5011,8,2275.1500,143.0000,20978.4825000
5011,9,2136.5900,134.5000,19820.2100000
5011,10,2297.9500,144.0000,10240.2425000
5011,11,23.9800,1.5000,
5012,1,979.1700,73.0000,9542.2400000
5013,1,1183.0300,10.0000,11020.4200000
5013,2,1159.1300,0.0000,10600.7900000
5013,3,1181.0200,0.0000,10707.2250000
5013,4,1082.9000,0.0000,10114.0850000
5013,5,914.3000,0.0000,8688.5300000
5013,6,938.3400,23.5000,8880.9500000
5013,7,808.3900,8.5000,7721.0150000
5013,8,1008.1300,0.5000,9599.7650000
5013,9,1054.1400,0.5000,9973.3550000
5013,10,889.6100,1.0000,8175.9000000
5013,11,29.6900,1.5000,
5014,1,2362.6300,51.0000,27148.9822000
5014,2,2549.6000,0.0000,28386.0629000
5014,3,2114.7900,0.0000,24307.6008000
5014,4,1873.4300,0.0000,22371.8168000
5014,5,2036.8500,0.0000,23963.2441000
5014,6,1666.7900,66.0000,19139.6913000
5014,7,1904.1500,29.0000,20554.8015000
5014,8,2892.7400,1.0000,27839.9611000
5014,9,3286.7000,1.0000,32958.0162000
5014,10,2121.9700,0.5000,24434.9409000
5017,1,3683.4100,255.0000,37907.2300000
5017,2,3388.2800,232.5000,35061.3100000
5017,3,3490.1900,240.5000,36265.7000000
5017,4,3209.5200,223.5000,33677.9050000
5017,5,681.7200,49.5000,7100.2900000
6008,1,267.5000,1.0000,2349.3500000
6008,2,293.1700,1.5000,2625.8600000
6008,3,315.8500,3.5000,2953.7000000
6008,4,271.7500,1.5000,2430.4250000
6008,5,255.7800,0.0000,2261.8290000
6008,6,263.7000,0.5000,2330.4000000
6008,7,257.4100,0.5000,2313.7400000
6008,8,276.0000,,2641.0000000
6008,9,300.4900,2.5000,3098.8600000
6008,10,189.9500,1.0000,1347.8800000
6025,7,6.7500,0.0000,94.5000000
6025,9,8.7500,0.0000,122.5000000
6026,8,75.0000,4.5000,1200.0000000
6026,9,16.0000,1.0000,248.0000000
7001,1,222.8700,15.5000,1857.1800000
7001,2,284.2500,19.5000,2362.1565000
7001,3,219.8200,16.0000,1837.5370000
7001,4,277.2600,21.5000,2302.2540000
7001,5,276.6300,19.5000,2296.0950000
7001,6,343.8200,22.0000,2854.7810000
7001,7,189.4700,13.0000,1591.0055000
7001,8,260.7700,17.5000,2181.3820000
7001,9,345.8700,25.5000,2991.8275000
7001,10,280.2900,22.0000,1090.9175000
7001,11,6.2000,0.5000,
7002,3,125.1900,7.5000,1122.0300000
7002,4,64.5900,5.0000,544.5210000
7002,6,10.1300,1.0000,81.5465000
7002,8,13.8400,0.5000,151.5435000
7002,9,112.1800,7.5000,1040.0370000
7002,10,125.8100,9.5000,683.3770000
7003,1,148.3100,11.5000,1354.9015000
7003,2,38.2100,3.5000,330.6190000
7003,3,267.5000,13.0000,2472.0000000
7003,4,238.7500,18.0000,2214.8500000
7003,5,104.1600,8.5000,959.4400000
7003,6,86.1500,7.0000,801.8750000
7003,7,415.6600,31.5000,3639.7525000
7003,8,41.1600,2.5000,385.5005000
7003,9,418.9200,37.0000,4068.4295000
7003,10,391.4200,37.5000,1928.0620000
7004,3,9.0000,,74.4750000
7006,1,32.0000,0.0000,320.0000000
7006,2,38.0000,0.0000,380.0000000
7006,3,45.0000,,450.0000000
7006,4,36.0000,,360.0000000
7006,5,36.0000,,360.0000000
7006,6,20.0000,,200.0000000
7006,7,36.0000,,360.0000000
7006,8,40.0000,,372.0000000
7006,9,32.0000,,288.0000000
7006,10,36.0000,0.0000,180.0000000
7007,2,1176.6900,83.5000,10913.5500000
7007,10,0.0000,0.0000,
7009,1,224.5000,0.0000,3367.5000000
7009,2,170.0000,7.5000,2550.0000000
7009,3,40.0000,2.5000,600.0000000
7009,4,159.1700,1.5000,2387.5500000
7009,5,196.0000,,2940.0000000
7009,6,248.0000,,3680.0000000
7009,7,50.0000,,750.0000000
7009,8,64.0000,,1024.0000000
7009,9,192.0000,,3072.0000000
7009,10,133.0000,,896.0000000
8005,5,8.0000,0.5000,96.0000000
8005,6,4.5000,0.5000,54.0000000
8005,7,5.0000,,60.0000000
8005,8,3.0000,0.0000,48.0000000
8005,9,24.0000,1.5000,384.0000000
8005,10,8.0000,0.5000,128.0000000
8006,4,30.5000,1.5000,366.0000000
8006,5,33.0000,3.0000,396.0000000
8006,8,16.0000,1.0000,256.0000000
8006,9,8.0000,0.5000,128.0000000
8006,10,8.0000,0.5000,
8007,4,24.5000,1.0000,294.0000000
8007,5,17.7500,1.5000,213.0000000
8007,6,5.0000,0.5000,60.0000000
8007,8,8.0000,0.5000,128.0000000
8008,4,8.0000,0.5000,96.0000000
8008,5,3.2500,0.0000,39.0000000
8008,8,17.0000,1.0000,272.0000000
8008,9,10.0000,0.5000,160.0000000
8008,10,16.0000,1.0000,
8009,5,9.5000,1.0000,114.0000000
8009,8,8.0000,0.5000,128.0000000
8009,9,18.0000,1.0000,288.0000000
8009,10,8.0000,0.5000,
8010,8,8.0000,0.5000,128.0000000
8010,9,10.0000,0.5000,160.0000000
8010,10,8.0000,0.5000,
8011,4,22.0000,1.0000,264.0000000
8011,5,9.1700,1.0000,110.0400000
8011,8,13.0000,1.0000,208.0000000
8011,9,8.0000,0.5000,128.0000000
8011,10,3.5000,0.0000,
8012,10,16.0000,1.0000,
8013,4,16.0000,1.0000,192.0000000
8013,5,13.0000,0.0000,156.0000000
8013,6,9.0000,1.0000,108.0000000
8013,8,17.0000,1.0000,272.0000000
8013,9,8.0000,0.5000,128.0000000
8025,1,45.0000,1.0000,457.5000000
8025,6,56.5000,4.0000,528.1000000
8030,8,4.0000,0.0000,64.0000000
8030,10,0.0000,0.0000,
8031,8,4.0000,0.0000,64.0000000
8031,10,8.0000,0.5000,128.0000000
9001,1,298.8200,11.0000,2868.9400000
9001,2,301.4500,12.0000,2865.0600000
9001,3,335.8700,12.0000,3224.8450000
9001,4,321.1000,12.5000,3178.2500000
9001,5,301.8500,12.0000,2853.9700000
9001,6,66.1700,5.0000,661.7000000
9002,1,80.0000,0.0000,800.0000000
9003,1,117.0000,,1009.2500000
9003,2,123.8000,0.5000,1150.7000000
9003,3,130.6200,0.0000,1193.6800000
9003,4,120.0000,,1080.0000000
9003,5,124.8300,0.5000,1162.6200000
9003,6,131.0000,0.0000,1184.0000000
9003,7,115.8300,0.0000,1090.6200000
9003,8,127.0000,0.0000,1143.0000000
9003,9,116.0000,0.0000,1055.0000000
9003,10,103.0000,1.0000,360.0000000
901057,5,3.4200,0.0000,47.8800000
901057,7,2.5800,0.0000,36.1200000
901057,8,13.1700,1.0000,184.3800000
901058,5,8.0000,,108.0000000
901058,6,3.6800,0.0000,55.2000000
901058,7,25.1800,0.0000,243.7000000
901058,8,4.0000,0.0000,36.0000000
901058,10,8.0000,0.0000,96.0000000
903000,6,144.7400,9.5000,1214.8895000
903000,7,400.8100,26.5000,3448.6950000
903000,8,413.7300,28.0000,3516.2960000
903000,9,387.5300,32.0000,3266.0215000
903000,10,346.5000,22.0000,1171.8470000
903001,4,14.5700,0.5000,117.2885000
903001,5,36.6700,3.0000,295.1935000
903001,7,148.5600,11.0000,1195.9080000
903001,8,342.5400,23.5000,2757.4470000
903001,9,402.7900,28.5000,3242.4595000
903001,10,118.4400,2.5000,188.6490000
903008,5,20.9000,1.0000,168.2450000
903033,8,24.0000,0.0000,240.0000000
903033,9,4.0000,0.0000,60.0000000
903038,10,9.2500,0.0000,90.7500000
903045,4,16.0000,0.0000,136.0000000
903045,5,170.2800,6.0000,1463.1300000
903045,6,37.0000,1.5000,332.0000000
903045,7,15.2800,0.5000,139.8800000
903045,9,12.7500,1.0000,127.5000000
903045,10,8.0000,1.0000,124.0000000
904040,8,0.0000,0.0000,
904040,9,3.9200,0.0000,39.2000000
904040,10,3.0800,0.0000,30.8000000
905011,5,3.2200,0.0000,48.3000000
905011,6,38.1200,2.5000,354.9250000
906008,5,16.9800,1.0000,136.6890000
906008,6,11.0000,,102.2000000
906008,7,4.0000,,40.0000000
906008,8,12.0000,,116.0000000
906008,9,19.0000,,186.0000000
906008,10,4.0000,,
