JobNumber,Period,Hours,Lunch,Total
1051,6,413.6800,3.5000,3892.1850000
1051,7,394.3000,0.5000,3618.8100000
1051,8,484.6400,1.5000,4517.6375000
1051,9,451.6200,1.5000,4224.7000000
1051,10,383.4000,2.0000,1752.0800000
1053,1,404.0000,20.5000,3824.5150000
1053,2,438.3100,31.0000,4175.3350000
1053,3,472.2300,24.0000,4463.6400000
1053,4,451.6400,19.0000,4263.7150000
1053,5,442.3500,21.0000,4148.5800000
1053,6,457.3500,21.5000,4296.9650000
1053,7,423.8500,24.0000,3990.7900000
1053,8,465.1100,21.5000,4304.6450000
1053,9,450.4200,22.0000,4252.9950000
1053,10,391.4200,17.0000,1520.7900000
1053,11,7.9500,0.5000,
1055,1,37.7100,0.0000,339.3900000
1055,2,59.5900,0.5000,566.3100000
1055,3,56.0700,0.0000,504.6300000
1055,4,59.1100,0.0000,531.9900000
1055,5,56.7500,0.0000,510.7500000
1055,6,56.1000,0.0000,504.9000000
1055,7,55.9000,0.0000,506.1300000
1055,8,58.8300,0.0000,529.4700000
1055,9,54.3500,0.0000,489.1500000
1055,10,53.1900,0.0000,236.5800000
1055,11,2.1000,0.0000,
1056,1,95.1900,0.0000,871.7100000
1056,2,78.0900,0.0000,702.8100000
1056,3,68.8800,0.0000,619.9200000
1056,4,43.9000,0.0000,398.5800000
1056,5,54.4700,0.0000,509.5800000
1056,6,76.9700,0.0000,736.2600000
1056,7,69.1300,0.0000,661.3800000
1056,8,86.4300,0.0000,828.2100000
1056,9,89.2100,2.0000,984.4600000
1056,10,56.6300,0.0000,236.9300000
1057,1,465.8200,2.5000,4526.3800000
1057,2,493.8200,1.5000,4559.4625000
1057,3,533.2700,3.0000,5030.7475000
1057,4,502.1400,4.0000,4896.4300000
1057,5,460.2300,2.0000,4296.4625000
1057,6,499.5700,4.0000,4805.9525000
1057,7,461.4500,2.5000,4404.9950000
1057,8,511.1300,0.5000,4762.3575000
1057,9,501.8000,5.0000,4836.8150000
1057,10,446.4500,3.5000,1533.9000000
1058,1,467.1900,15.5000,4542.5950000
1058,2,492.5100,16.5000,4892.8900000
1058,3,507.3100,13.5000,5203.0900000
1058,4,516.4900,14.0500,5281.0000000
1058,5,499.6100,15.0000,5106.6000000
1058,6,515.4500,11.0000,5317.7300000
1058,7,400.9500,14.5000,4268.3300000
1058,8,563.3200,16.0000,5629.7650000
1058,9,501.9200,13.0000,5001.0450000
1058,10,486.1800,14.0000,2333.5650000
1058,11,4.0800,0.0000,
1060,1,110.1000,10.0000,990.9000000
1060,2,257.0600,17.5000,2906.0200000
1060,3,172.5400,12.0000,1598.1800000
1060,4,146.1900,10.5000,1340.4300000
1060,5,147.8700,10.5000,1330.8300000
1060,6,186.9200,10.0000,1852.1800000
1060,7,154.8800,1.0000,1671.6800000
1060,8,186.6300,2.5000,1850.6700000
1060,9,168.0200,0.5000,1789.0500000
1060,10,97.7200,1.5000,258.9000000
1061,1,242.9500,11.5000,2531.9900000
1061,2,259.2400,12.5000,2880.9000000
1061,3,329.7000,16.5000,3591.1700000
1061,4,216.2900,10.0000,2224.3500000
1061,5,271.0000,10.5000,2820.3700000
1061,6,203.5300,8.0000,2114.5400000
1061,7,153.2700,3.5000,1542.9900000
1061,8,229.3300,13.0000,2473.8200000
1061,9,241.0900,8.0000,2781.9400000
1061,10,173.5300,3.0000,846.3600000
1061,11,0.0000,0.0000,
1065,1,58.6100,0.0000,527.4900000
1065,2,56.3300,0.0000,506.9700000
1065,3,57.7400,0.0000,519.6600000
1065,4,66.4700,0.0000,598.2300000
1065,5,66.6200,0.0000,599.5800000
1065,6,61.1500,0.0000,550.3500000
1065,7,63.0800,0.0000,567.7200000
1065,8,77.7100,0.0000,699.3900000
1065,9,64.7500,0.0000,582.7500000
1065,10,68.5800,1.0000,309.8100000
1066,1,1076.3600,60.0000,10240.0050000
1066,2,1100.4100,63.0000,10682.7385000
1066,3,1259.4900,24.5000,12862.2000000
1066,4,1259.5700,61.5000,13076.8835000
1066,5,1263.5100,89.0000,12888.8700000
1066,6,1393.5900,108.0000,13703.4450000
1066,7,1203.2300,93.5000,11705.7100000
1066,8,1203.1400,84.0000,11687.8845000
1066,9,1218.9500,88.5000,12138.8500000
1066,10,1153.5400,84.5000,5233.6800000
1066,11,8.2700,0.5000,
1067,1,40.5000,,326.0250000
1067,2,47.0000,,378.3500000
1067,3,34.5000,,277.7250000
1067,4,31.5000,,253.5750000
1067,5,33.0000,0.0000,265.6500000
1067,6,33.0000,0.0000,265.6500000
1067,7,30.0000,0.0000,241.5000000
1067,8,31.5000,0.0000,253.5750000
1068,1,43.1700,0.0000,388.5300000
1068,2,46.7000,0.0000,420.3000000
1068,3,38.5100,0.0000,346.5900000
1068,4,60.2900,0.0000,542.6100000
1068,5,59.0400,0.5000,531.3600000
1068,6,53.8600,0.0000,489.7400000
1068,7,48.0000,0.5000,432.0000000
1068,8,60.4800,0.0000,544.3200000
1068,9,51.4800,0.0000,463.3200000
1068,10,43.5000,0.0000,127.4400000
1069,4,30.0000,,330.0000000
1069,6,99.5000,0.5000,949.0000000
1069,7,83.0000,0.0000,788.5000000
1069,8,92.0000,0.0000,872.0000000
1069,9,84.0000,0.0000,794.0000000
1069,10,75.0000,0.0000,349.0000000
1070,1,43.9800,0.0000,395.8200000
1070,2,52.3100,0.0000,470.7900000
1070,3,62.7500,0.0000,564.7500000
1070,4,43.5200,0.0000,391.6800000
1070,5,42.4100,0.0000,381.6900000
1070,6,62.0600,0.5000,596.5400000
1070,7,46.8800,0.0000,421.9200000
1070,8,49.0300,0.5000,441.2700000
1070,9,42.5400,0.0000,382.8600000
1070,10,41.1500,0.0000,236.2600000
1071,1,94.0000,,832.7000000
1071,2,133.0700,1.0000,1263.7300000
1071,3,124.0000,,1097.0000000
1071,4,92.0000,,852.0000000
1071,5,108.0000,0.0000,1204.4000000
1071,6,92.6700,0.0000,862.0500000
1071,7,74.2800,0.5000,784.7000000
1071,8,100.6900,0.0000,927.1750000
1071,9,95.8200,0.5000,928.2000000
1071,10,87.8900,0.0000,573.3300000
1072,1,60.0000,,540.0000000
1072,2,65.8400,1.0000,583.0600000
1072,3,57.0000,,513.0000000
1072,4,65.0000,,577.4000000
1072,5,79.7500,0.0000,641.9875000
1072,6,90.2500,1.0000,843.1500000
1072,7,88.1700,0.0000,992.5500000
1072,8,68.8200,0.0000,622.7200000
1072,9,70.9800,0.0000,672.8400000
1072,10,69.7800,0.0000,379.1700000
1073,1,32.0000,1.0000,257.6000000
1073,2,20.0000,,161.0000000
1073,3,24.0000,,193.2000000
1073,4,16.0000,0.0000,128.8000000
1073,5,13.6300,0.0000,109.7215000
1073,6,8.6000,0.0000,69.2300000
1073,7,10.1100,0.0000,81.3855000
1073,8,7.2400,0.0000,58.2820000
1073,9,9.1100,0.0000,73.3355000
1073,10,9.2700,0.0000,41.2965000
1073,11,1.0800,0.0000,
1074,1,30.0000,,241.5000000
1074,2,41.5000,,371.2000000
1074,3,42.0000,,338.1000000
1074,4,42.0000,0.0000,338.1000000
1074,5,33.5000,0.0000,269.6750000
1074,6,44.0100,0.0000,354.2805000
1074,7,38.8800,0.0000,312.9840000
1074,8,46.0800,0.0000,370.9440000
1074,9,39.5200,0.0000,318.1360000
1074,10,36.0300,0.0000,111.7340000
1074,11,2.0000,0.0000,
1075,5,12.0000,0.0000,126.0000000
1075,6,26.0000,0.0000,273.0000000
1075,7,24.0000,0.0000,252.0000000
1075,8,28.0000,0.0000,294.0000000
1075,9,21.0000,0.0000,216.0000000
1075,10,26.6700,0.0000,90.0000000
1076,8,8.0000,0.0000,96.0000000
1076,9,17.3200,1.5000,250.3500000
