MonthlyBudget,Period1,Period2,Period3,Period4,Period5,Period6,Period7,Period8,Period9,Period10,Period11,Period12,GLAccountNumber,FiscalYear,BudgetType,JobNumber
4.0000,4.0000,4.0000,4.0000,4.0000,4.0000,4.0000,4.0000,4.0000,4.0000,4.0000,4.0000,4.0000,4003,2017,Other,1025
1438.0000,1438.0000,1432.0000,1426.0000,1420.0000,1414.0000,1408.0000,1402.0000,1396.0000,1390.0000,1384.0000,1378.0000,1372.0000,4000,2017,Other,1025
25.0000,25.0000,25.0000,25.0000,25.0000,25.0000,25.0000,25.0000,25.0000,25.0000,25.0000,25.0000,25.0000,4022,2016,Other,1027
8.0000,8.0000,8.0000,8.0000,8.0000,8.0000,8.0000,8.0000,8.0000,8.0000,8.0000,8.0000,8.0000,4060,2016,Other,1027
7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,4003,2016,Other,1027
25.0000,25.0000,25.0000,25.0000,25.0000,25.0000,25.0000,25.0000,25.0000,25.0000,25.0000,25.0000,25.0000,4021,2016,Other,1027
169.0000,169.0000,172.0000,175.0000,176.0000,177.0000,176.0000,175.0000,172.0000,169.0000,164.0000,159.0000,153.0000,4021,2017,Other,1032
137.0000,137.0000,133.0000,128.0000,124.0000,120.0000,116.0000,111.0000,107.0000,103.0000,99.0000,95.0000,90.0000,4020,2017,Sub-contracted Labor,1032
18.0000,18.0000,18.0000,18.0000,18.0000,18.0000,18.0000,18.0000,18.0000,18.0000,18.0000,18.0000,18.0000,4003,2016,Other,1032
84.0000,84.0000,84.0000,84.0000,84.0000,84.0000,84.0000,84.0000,84.0000,84.0000,84.0000,84.0000,84.0000,4021,2016,Other,1032
33.0000,33.0000,35.0000,37.0000,39.0000,41.0000,43.0000,45.0000,47.0000,48.0000,50.0000,52.0000,54.0000,4070,2017,Other,1032
21.0000,21.0000,21.0000,21.0000,21.0000,21.0000,21.0000,21.0000,21.0000,2.0000,21.0000,21.0000,21.0000,4001,2016,Other,1032
28.0000,28.0000,28.0000,28.0000,28.0000,28.0000,28.0000,28.0000,28.0000,28.0000,28.0000,28.0000,28.0000,4060,2016,Other,1032
84.0000,84.0000,84.0000,84.0000,84.0000,84.0000,84.0000,84.0000,84.0000,84.0000,84.0000,84.0000,84.0000,4022,2016,Other,1032
40.0000,40.0000,47.0000,55.0000,63.0000,73.0000,82.0000,93.0000,103.0000,115.0000,127.0000,139.0000,153.0000,4022,2017,Other,1032
6.0000,6.0000,6.0000,6.0000,6.0000,6.0000,6.0000,6.0000,6.0000,6.0000,6.0000,6.0000,6.0000,4003,2017,Other,1032
2574.0000,2574.0000,2563.0000,2552.0000,2541.0000,2530.0000,2520.0000,2509.0000,2498.0000,2487.0000,2477.0000,2466.0000,2455.0000,4000,2017,Other,1032
4170.0000,4170.0000,4153.0000,4135.0000,4118.0000,4100.0000,4083.0000,4066.0000,4048.0000,4031.0000,4013.0000,3996.0000,3978.0000,4000,2017,Other,1033
10.0000,10.0000,10.0000,10.0000,10.0000,10.0000,10.0000,10.0000,10.0000,10.0000,10.0000,10.0000,10.0000,4003,2017,Other,1033
64.0000,64.0000,76.0000,89.0000,103.0000,118.0000,133.0000,150.0000,168.0000,186.0000,206.0000,226.0000,245.0000,4022,2017,Other,1033
137.0000,137.0000,137.0000,137.0000,137.0000,137.0000,137.0000,137.0000,137.0000,137.0000,137.0000,137.0000,137.0000,4022,2016,Other,1033
46.0000,46.0000,46.0000,46.0000,46.0000,46.0000,46.0000,46.0000,46.0000,46.0000,46.0000,46.0000,46.0000,4060,2016,Other,1033
59.0000,59.0000,59.0000,59.0000,59.0000,59.0000,59.0000,59.0000,59.0000,59.0000,59.0000,59.0000,59.0000,4001,2016,Other,1033
53.0000,53.0000,56.0000,60.0000,63.0000,66.0000,69.0000,72.0000,75.0000,79.0000,82.0000,85.0000,88.0000,4070,2017,Other,1033
137.0000,137.0000,137.0000,137.0000,137.0000,137.0000,137.0000,137.0000,137.0000,137.0000,137.0000,137.0000,137.0000,4021,2016,Other,1033
51.0000,51.0000,51.0000,51.0000,51.0000,51.0000,51.0000,51.0000,51.0000,51.0000,51.0000,51.0000,51.0000,4003,2016,Other,1033
221.0000,221.0000,215.0000,208.0000,201.0000,194.0000,187.0000,181.0000,174.0000,167.0000,160.0000,153.0000,146.0000,4020,2017,Sub-contracted Labor,1033
274.0000,274.0000,279.0000,283.0000,286.0000,286.0000,286.0000,283.0000,279.0000,274.0000,266.0000,258.0000,247.0000,4021,2017,Other,1033
396.0000,396.0000,396.0000,396.0000,396.0000,396.0000,396.0000,396.0000,396.0000,396.0000,396.0000,396.0000,396.0000,4020,2016,Sub-contracted Labor,1033
71.0000,71.0000,72.0000,73.0000,74.0000,74.0000,74.0000,73.0000,72.0000,71.0000,69.0000,66.0000,64.0000,4021,2017,Other,1034
12.0000,12.0000,12.0000,12.0000,12.0000,12.0000,12.0000,12.0000,12.0000,12.0000,12.0000,12.0000,12.0000,4003,2016,Other,1034
