ID,JobNumber,EmployeeNumber,WorkDate,CategoriesDetailID,RecordTypeID,SequenceNumber,Hours,InTime,OutTime,Lunch,ForceOTToThisJob,PayRate,SpecialPayRate,PaidByCheckID,OvertimeHours,DoubletimeHours,WorkTicketNumber
121955,1033,3212,1/13/2017,1,5,1,8.33,12/30/1899 7:40:00 AM,12/30/1899 4:30:00 PM,0.5,0,,0,,0,0,
121956,3045,3222,1/13/2017,1,5,1,8.1,12/30/1899 6:55:00 AM,12/30/1899 3:31:00 PM,0.5,0,,0,,0,0,
121957,3045,3263,1/13/2017,1,5,1,8.12,12/30/1899 6:54:00 AM,12/30/1899 3:31:00 PM,0.5,0,,0,,0,0,
121958,1003,3296,1/13/2017,1,5,1,8.03,12/30/1899 8:32:00 AM,12/30/1899 5:04:00 PM,0.5,0,,0,,0,0,
121959,5011,3318,1/13/2017,1,5,1,8.22,12/30/1899 6:22:00 AM,12/30/1899 3:05:00 PM,0.5,0,,0,,0,0,
121960,5013,9026,1/13/2017,45,8,1,0,12/30/1899,12/30/1899,0,0,,0,,0,0,
121961,5013,9034,1/13/2017,45,8,2,5.57,12/30/1899 10:26:00 AM,12/30/1899 4:00:00 PM,0,0,,0,,0,0,
121962,5013,9087,1/13/2017,45,5,1,4.87,12/30/1899 10:19:00 AM,12/30/1899 3:11:00 PM,0,0,,0,,0,0,
121963,5013,9092,1/13/2017,45,8,2,4,12/30/1899 11:00:00 AM,12/30/1899 3:00:00 PM,0,0,,0,,0,0,
121964,3008,907,1/13/2017,1,5,1,6.28,12/30/1899 4:01:00 PM,12/30/1899 10:48:00 PM,0.5,0,,0,,0,0,
121965,1032,1020,1/13/2017,1,5,1,5.52,12/30/1899 4:00:00 PM,12/30/1899 10:01:00 PM,0.5,0,,0,,0,0,
121966,3045,1240,1/13/2017,1,5,1,8.22,12/30/1899 3:52:00 PM,12/30/1899 12:35:00 AM,0.5,0,,0,,0,0,
121967,1032,1366,1/13/2017,1,5,1,8.17,12/30/1899 5:59:00 PM,12/30/1899 2:39:00 AM,0.5,0,,0,,0,0,358
121968,1033,1390,1/13/2017,1,5,1,3.87,12/30/1899 6:08:00 PM,12/30/1899 10:00:00 PM,0,0,,0,,0,0,
121969,3033,1425,1/13/2017,1,5,1,0,12/30/1899 8:01:00 AM,,0,0,,0,,0,0,
121970,3008,1693,1/13/2017,1,5,1,7.72,12/30/1899 5:01:00 PM,12/30/1899 1:14:00 AM,0.5,0,,0,,0,0,
121971,1033,1932,1/13/2017,1,5,1,4.07,12/30/1899 5:52:00 PM,12/30/1899 9:56:00 PM,0,0,,0,,0,0,
121972,3008,1986,1/13/2017,1,5,1,8.08,12/30/1899 2:55:00 PM,12/30/1899 11:30:00 PM,0.5,0,,0,,0,0,
121973,4040,2020,1/13/2017,1,5,1,0,12/30/1899 5:28:00 PM,,0,0,,0,,0,0,
121974,3008,2128,1/13/2017,1,5,1,6.02,12/30/1899 4:04:00 PM,12/30/1899 10:35:00 PM,0.5,0,,0,,0,0,
121975,3008,2176,1/13/2017,1,5,1,5.12,12/30/1899 4:25:00 PM,12/30/1899 10:02:00 PM,0.5,0,,0,,0,0,
121976,4040,2229,1/13/2017,1,5,1,4.03,12/30/1899 4:57:00 PM,12/30/1899 8:59:00 PM,0,0,,0,,0,0,
121977,3034,2284,1/13/2017,1,5,1,0,12/30/1899 7:35:00 AM,,0,0,,0,,0,0,
