ID,JobNumber,EmployeeNumber,WorkDate,CategoriesDetailID,RecordTypeID,SequenceNumber,Hours,InTime,OutTime,Lunch,ForceOTToThisJob,PayRate,SpecialPayRate,PaidByCheckID,OvertimeHours,DoubletimeHours,WorkTicketNumber
102050,5013,9034,10/17/2016,45,8,1,2,12/30/1899 11:50:00 AM,12/30/1899 1:50:00 PM,0,0,9,0,12079,0,0,
102051,5013,9025,10/18/2016,45,8,1,7.25,12/30/1899 6:15:00 AM,12/30/1899 1:30:00 PM,0,0,10,0,12076,0,0,
102052,5013,9070,10/18/2016,45,8,1,6.5,12/30/1899 8:00:00 AM,12/30/1899 2:30:00 PM,0,0,8.5,0,12089,0,0,
102053,5013,9034,10/18/2016,45,8,1,1,12/30/1899 8:50:00 AM,12/30/1899 9:50:00 AM,0,0,9,0,12079,0,0,
102054,5013,9063,10/18/2016,45,8,1,3.25,12/30/1899 10:45:00 AM,12/30/1899 2:00:00 PM,0,0,8.5,0,12086,0,0,
102055,5013,9025,10/19/2016,45,8,1,5.33,12/30/1899 6:10:00 AM,12/30/1899 11:30:00 AM,0,0,10,0,12076,0,0,
102056,5013,9070,10/19/2016,45,8,1,5.5,12/30/1899 9:00:00 AM,12/30/1899 2:30:00 PM,0,0,8.5,0,12089,0,0,
102057,5013,9039,10/20/2016,45,8,1,11.23,12/30/1899 6:12:00 AM,12/30/1899 5:26:00 PM,0,0,12,0,12080,0,0,
102058,5013,9025,10/20/2016,45,8,1,3.83,12/30/1899 6:15:00 AM,12/30/1899 10:05:00 AM,0,0,10,0,12076,0,0,
102059,5013,9034,10/20/2016,45,8,1,0.92,12/30/1899 8:50:00 AM,12/30/1899 9:45:00 AM,0,0,9,0,12079,0,0,
102060,5013,9070,10/20/2016,45,8,1,5.5,12/30/1899 9:00:00 AM,12/30/1899 2:30:00 PM,0,0,8.5,0,12089,0,0,
102061,5013,9025,10/20/2016,45,8,2,1.25,12/30/1899 10:15:00 AM,12/30/1899 11:30:00 AM,0,0,10,0,12076,0,0,
102062,5013,9063,10/20/2016,45,8,1,4.92,12/30/1899 10:45:00 AM,12/30/1899 3:40:00 PM,0,0,8.5,0,12086,0,0,
102063,5013,9025,10/21/2016,45,8,1,4.75,12/30/1899 6:15:00 AM,12/30/1899 11:00:00 AM,0,0,10,0,12076,0,0,
102064,5013,9039,10/21/2016,45,8,1,5.02,12/30/1899 6:27:00 AM,12/30/1899 11:28:00 AM,0,0,12,0,12080,0,0,
102065,5013,9063,10/21/2016,45,8,1,4.08,12/30/1899 12:20:00 PM,12/30/1899 4:25:00 PM,0,0,8.5,0,12086,0,0,
102066,5013,9034,10/21/2016,45,8,2,0.57,12/30/1899 3:00:00 PM,12/30/1899 3:34:00 PM,0,0,9,0,12079,0,0,
102067,5014,9080,10/18/2016,38,8,1,8,12/30/1899 2:00:00 PM,12/30/1899 10:00:00 PM,0,0,21.6345,0,12093,0,0,
102068,5014,9021,10/18/2016,38,8,1,8,12/30/1899 2:00:00 PM,12/30/1899 10:00:00 PM,0,0,,0,,0,0,
102069,5014,9088,10/18/2016,38,8,1,8,12/30/1899 2:00:00 PM,12/30/1899 10:00:00 PM,0,0,19.23,0,12099,0,0,
102070,5014,9080,10/19/2016,38,8,1,8,12/30/1899 2:00:00 PM,12/30/1899 10:00:00 PM,0,0,21.6345,0,12093,0,0,
102071,5014,9016,10/19/2016,38,8,1,8,12/30/1899 2:00:00 PM,12/30/1899 10:00:00 PM,0,0,17.33,0,12073,0,0,
102072,5014,9021,10/19/2016,38,8,1,8,12/30/1899 2:00:00 PM,12/30/1899 10:00:00 PM,0,0,,0,,0,0,
102073,5014,9088,10/19/2016,38,8,1,8,12/30/1899 2:00:00 PM,12/30/1899 10:00:00 PM,0,0,19.23,0,12099,0,0,
102074,5014,9080,10/20/2016,38,8,1,8,12/30/1899 2:00:00 PM,12/30/1899 10:00:00 PM,0,0,21.6345,0,12093,0,0,
102075,5014,9021,10/20/2016,38,8,1,8,12/30/1899 2:00:00 PM,12/30/1899 10:00:00 PM,0,0,,0,,0,0,
102076,5014,9088,10/20/2016,38,8,1,8,12/30/1899 2:00:00 PM,12/30/1899 10:00:00 PM,0,0,19.23,0,12099,0,0,
102077,5014,9084,10/20/2016,38,8,1,8.23,12/30/1899 2:46:00 PM,12/30/1899 11:00:00 PM,0,0,8.05,0,12096,0,0,
