ID,JobNumber,EmployeeNumber,WorkDate,CategoriesDetailID,RecordTypeID,SequenceNumber,Hours,InTime,OutTime,Lunch,ForceOTToThisJob,PayRate,SpecialPayRate,PaidByCheckID,OvertimeHours,DoubletimeHours,WorkTicketNumber
95462,3045,3008,9/30/2016,1,5,1,8.03,12/30/1899 4:04:00 PM,12/30/1899 12:36:00 AM,0.5,0,8.5,0,11524,0,0,
95463,3045,3009,9/30/2016,1,5,1,7.95,12/30/1899 4:08:00 PM,12/30/1899 12:35:00 AM,0.5,0,8.5,0,11525,0,0,
95464,3045,3010,9/30/2016,1,5,1,8.05,12/30/1899 4:04:00 PM,12/30/1899 12:37:00 AM,0.5,0,8.5,0,11526,0,0,
95465,3045,3013,9/30/2016,1,5,1,8.02,12/30/1899 4:05:00 PM,12/30/1899 12:36:00 AM,0.5,0,8.5,0,11527,0.18,0,
95466,3045,3014,9/30/2016,1,5,1,7.97,12/30/1899 4:08:00 PM,12/30/1899 12:36:00 AM,0.5,0,8.5,0,11528,0,0,
95467,3045,3015,9/30/2016,1,5,1,7.17,12/30/1899 4:18:00 PM,12/30/1899 11:58:00 PM,0.5,0,10,0,11529,0,0,
95468,3037,3028,9/30/2016,1,5,1,8.05,12/30/1899 1:00:00 PM,12/30/1899 9:33:00 PM,0.5,0,8.75,0,11536,0.05,0,
95469,3001,3030,9/30/2016,1,5,1,7,12/30/1899 8:04:00 PM,12/30/1899 3:34:00 AM,0.5,0,8.05,0,11538,0,0,
95470,3027,3051,9/30/2016,1,5,1,8.02,12/30/1899 11:59:00 AM,12/30/1899 8:30:00 PM,0.5,0,8.75,0,11544,0,0,
95471,3045,3071,9/30/2016,1,5,1,7.98,12/30/1899 4:00:00 PM,12/30/1899 12:29:00 AM,0.5,0,8.5,0,11551,0.12,0,
95472,3001,3074,9/30/2016,1,5,1,6.17,12/30/1899 8:50:00 PM,12/30/1899 3:30:00 AM,0.5,0,8.05,0,11552,0,0,
95473,3001,3078,9/30/2016,1,5,1,6.15,12/30/1899 8:48:00 PM,12/30/1899 3:27:00 AM,0.5,0,8.05,0,11553,0,0,
95474,3001,3080,9/30/2016,1,5,1,6.17,12/30/1899 8:47:00 PM,12/30/1899 3:27:00 AM,0.5,0,8.05,0,11555,0,0,
95475,3000,3082,9/30/2016,1,5,1,3.02,12/30/1899 4:59:00 PM,12/30/1899 8:00:00 PM,0,0,8.05,0,11556,0,0,
95476,3045,3087,9/30/2016,1,5,1,7.95,12/30/1899 3:34:00 PM,12/30/1899 12:01:00 AM,0.5,0,12,0,11557,0.88,0,
95477,1053,3095,9/30/2016,1,5,1,5.1,12/30/1899 2:33:00 PM,12/30/1899 8:10:00 PM,0.5,0,11,0,11559,0,0,
